easy_nroproctab,easy_codconv,easy_descricao,brana_id_candidato,brana_codigo_candidato,brana_nome_candidato,metodo_correspondencia,nivel_confianca,divergencias,ambiguidade,acao_futura_permitida,acao_futura_bloqueada,justificativa
86,4180,Retratamento de Canal - (Molares),40642,4180,Retratamento de Canal - (Molares),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
87,4190,Retratamento de Canal - (Pré-molares),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
88,4200,Tratamento cirurgico de lesão endo-perio - (Curetagem),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
89,4210,Tratamento cirurgico de lesão endo-perio com enxerto leofilizado,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
90,4220,Tratamento de Canal - (Incisivos),40646,4220,Tratamento de Canal - (Incisivos),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
91,4230,Tratamento de Canal - (Molares com mais de 3 condutos),40647,4230,Tratamento de Canal - (Molares com mais de 3 condutos),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
92,4240,Tratamento de Canal - (Molares),40648,4240,Tratamento de Canal - (Molares),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
93,4250,Tratamento de Canal - (Pré-molares),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
94,4260,Tratamento de dentes c/ rizogenese incompleta - (Por sessão),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
95,4270,Tratamento de Trepanações / Perfurações,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
96,2000,Cimentação de Coroa Total Definitiva,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
97,2010,Cimentação de Coroa Total Provisória,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
