id_brana,codigo_brana,nome_brana,nroproctab,codconv,descricao_easy,nome_normalizado,especialidade_easy,especialidade_brana,simbolo_easy,simbolo_brana,preco_easy,preco_brana,forma_cobranca_easy,forma_cobranca_brana,status_easy,status_brana,observacoes,risco,classificacao_anterior,classificacao_final,acao_futura_permitida,acao_futura_bloqueada
40733,8110,Coroa Metal-free sob implante - (Inceram),177,8110,Coroa Metal-free sob implante - (Inceram),coroa metal-free sob implante - (inceram),02,02,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40734,8120,Coroa Metal-free sob implante - (Procera),178,8120,Coroa Metal-free sob implante - (Procera),coroa metal-free sob implante - (procera),02,02,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40735,8130,Coroa Metal-free sob implante - (Zirconia; Sistema CAD/CAM),179,8130,Coroa Metal-free sob implante - (Zirconia; Sistema CAD/CAM),coroa metal-free sob implante - (zirconia; sistema cad/cam),02,02,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40743,8500,E-MAX - Lente de contato,187,8500,E-MAX - Lente de contato,e-max - lente de contato,02,02,39,39,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40747,8220,Faceta em Porcelana,191,8220,Faceta em Porcelana,faceta em porcelana,01,01,39,39,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40748,8230,Faceta em Resina Acrilica,192,8230,Faceta em Resina Acrilica,faceta em resina acrilica,01,01,39,39,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40749,8240,Guia Cirurgico,193,8240,Guia Cirurgico,guia cirurgico,02,02,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40754,8290,Placa de mordida miorrelaxante,199,8290,Placa de mordida miorrelaxante,placa de mordida miorrelaxante,07,07,37,37,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40756,8305,Placa para Bruxismo Mista - (Erkoflex),201,8305,Placa para Bruxismo Mista - (Erkoflex),placa para bruxismo mista - (erkoflex),07,07,37,37,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40757,8310,Placa para Clareamento,202,8310,Placa para Clareamento,placa para clareamento,07,07,37,37,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40771,8291,Protetor bucal Playsafe,216,8291,Protetor bucal Playsafe,protetor bucal playsafe,07,07,37,37,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40873,8315,Placa para Ortose,318,8315,Placa para Ortose,placa para ortose,07,07,37,37,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40874,9000,Micro-agulhamento (Derma Roller),319,9000,Micro-agulhamento (Derma Roller),micro-agulhamento (derma roller),14,14,10,10,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40875,8292,Protetor bucal Playsafe Personalizado,320,8292,Protetor bucal Playsafe Personalizado,protetor bucal playsafe personalizado,07,07,37,37,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40876,7050,Levanto de seio maxilar,321,7050,Levanto de seio maxilar,levanto de seio maxilar,01,01,25,25,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40877,9010,Botox,322,9010,Botox,botox,14,14,43,43,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40879,9020,Preenchimento,324,9020,Preenchimento,preenchimento,14,14,10,10,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40882,9030,Lipo de papada,327,9030,Lipo de papada,lipo de papada,14,14,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40885,9050,Bichectomia,330,9050,Bichectomia,bichectomia,14,14,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40887,7023,Implante Cone Morse + Enxerto,332,7023,Implante Cone Morse + Enxerto,implante cone morse + enxerto,,,9,9,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40888,8482,E-MAX - Jaqueta pura em dissilicato,333,8482,E-MAX - Jaqueta pura em dissilicato,e-max - jaqueta pura em dissilicato,01,01,1,1,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40889,2111,Foto extra-oral,334,2111,Foto extra-oral,foto extra-oral,14,14,43,43,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
