linha_csv,codigo_csv,nome_csv,especialidade_csv,preco_csv,nroproctab_sql,codconv_sql,descricao_sql,especialidade_sql,preco_sql,codigo_brana,nome_brana,especialidade_brana,preco_brana,codigo_significado,classe_csv_sql,classe_csv_brana,nivel_confian?a_anterior,nivel_confian?a_final,justificativa
70,,Spling Retainer 3/3   4/4,Ortodontia,"0,00",314,,Spling Retainer 3/3   4/4,7,0.0,314,Spling Retainer 3/3 4/4,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
71,,Twin Black,Ortodontia,"0,00",315,,Twin Black,7,0.0,315,Twin Black,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
72,,"Vilma Simões - SN1, SN2, SN3, SN4, SN5",Ortodontia,"0,00",316,,"Vilma Simões - SN1, SN2, SN3, SN4, SN5",7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
73,,"Vilma Simões - SN6, SN7",Ortodontia,"0,00",317,,"Vilma Simões - SN6, SN7",7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
74,,Alinhadores Estéticos,Ortodontia,"0,00",323,,Alinhadores Estéticos,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
75,,Bandagem (Tubo bracket),Ortodontia,"0,00",241,,Bandagem (Tubo bracket),7,0.0,241,Bandagem (Tubo bracket),07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
76,,Mantenedor de espaço,Ortodontia,"0,00",281,,Mantenedor de espaço,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
77,,Placa recuperadora de espaço,Ortodontia,"0,00",310,,Placa recuperadora de espaço,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
78,,Placa com arco de controle dos caninos,Ortodontia,"0,00",292,,Placa com arco de controle dos caninos,7,0.0,292,Placa com arco de controle dos caninos,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
79,,Placa mantenedora de espaço.,Ortodontia,"0,00",309,,Placa mantenedora de espaço.,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
